diff	diff_fill	dir	dir_reverse	bin	bin_reverse	dec	dec_reverse
	1331	1	0	00100	00100	36	4
	1331	0	1	01100	00110	12	38
	1331	1	0	00000	00000	32	0
	1331	0	1	10000	00001	16	33
1332	1332	0	1	00110	01100	6	44
	1332	1	0	00011	11000	35	24
	1332	0	1	01110	01110	14	46
	1332	1	0	00111	11100	39	28
	1332	0	1	01111	11110	15	62
	1332	1	0	00000	00000	32	0
	1332	0	1	10000	00001	16	33
1333	1333	0	1	00110	01100	6	44
	1333	1	0	00011	11000	35	24
	1333	0	1	01110	01110	14	46
	1333	1	0	00111	11100	39	28
	1333	0	1	01110	01110	14	46
	1333	1	0	00000	00000	32	0
	1333	0	1	10000	00001	16	33
2000	2000	0	1	11111	11111	31	63
	2000	1	0	01000	00010	40	2
	2000	0	1	11000	00011	24	35
	2000	1	0	01111	11110	47	30
2001	2001	0	1	11110	01111	30	47
	2001	1	0	01000	00010	40	2
	2001	0	1	11000	00011	24	35
	2001	1	0	01111	11110	47	30
2002	2002	0	1	11110	01111	30	47
	2002	1	0	01111	11110	47	30
	2002	0	1	11110	01111	30	47
	2002	1	0	01111	11110	47	30
2003	2003	0	1	11110	01111	30	47
	2003	1	0	01111	11110	47	30
	2003	0	1	11110	01111	30	47
	2003	1	0	01111	11110	47	30
	2003	0	1	11110	01111	30	47
2010	2010	0	1	11111	11111	31	63
	2010	1	0	01110	01110	46	14
	2010	0	1	11100	00111	28	39
	2010	1	0	01111	11110	47	30
2011	2011	0	1	11110	01111	30	47
	2011	1	0	01110	01110	46	14
	2011	0	1	11100	00111	28	39
	2011	1	0	01111	11110	47	30
2012	2012	0	1	11110	01111	30	47
	2012	1	0	01110	01110	46	14
	2012	0	1	11100	00111	28	39
	2012	1	0	01111	11110	47	30
	2012	0	1	11110	01111	30	47
2013	2013	0	1	00011	11000	3	56
	2013	1	0	00001	10000	33	16
	2013	0	1	11111	11111	31	63
	2013	1	0	01110	01110	46	14
